0.00000	0.00000	-0.00002	0.00000	0.00000	0.00000	-0.00001	-0.00004	0.00001	0.00000	-0.00002	0.00003	0.00003
-0.00003	-0.00002	-0.00016	-0.00003	0.00002	0.00002	-0.00013	-0.00027	0.00006	0.00000	-0.00012	0.00023	0.00024
-0.00017	-0.00004	-0.00058	-0.00012	0.00010	0.00026	-0.00065	-0.00092	0.00024	0.00000	-0.00045	0.00080	0.00087
-0.00059	0.00002	-0.00146	-0.00032	0.00040	0.00097	-0.00206	-0.00204	0.00058	-0.00001	-0.00105	0.00178	0.00197
-0.00151	0.00026	-0.00299	-0.00062	0.00111	0.00226	-0.00489	-0.00345	0.00100	-0.00011	-0.00187	0.00304	0.00302
-0.00314	0.00087	-0.00541	-0.00110	0.00241	0.00404	-0.00956	-0.00491	0.00134	-0.00063	-0.00278	0.00430	0.00300
-0.00561	0.00213	-0.00901	-0.00185	0.00425	0.00586	-0.01637	-0.00640	0.00129	-0.00221	-0.00352	0.00517	0.00046
-0.00893	0.00445	-0.01409	-0.00298	0.00643	0.00692	-0.02532	-0.00823	0.00028	-0.00585	-0.00365	0.00508	-0.00640
-0.01296	0.00827	-0.02085	-0.00456	0.00860	0.00621	-0.03617	-0.01098	-0.00259	-0.01269	-0.00273	0.00342	-0.01961
-0.01745	0.01401	-0.02931	-0.00669	0.01034	0.00287	-0.04844	-0.01537	-0.00846	-0.02394	-0.00050	-0.00052	-0.04114
-0.02203	0.02195	-0.03945	-0.00944	0.01122	-0.00375	-0.06155	-0.02215	-0.01866	-0.04096	0.00301	-0.00760	-0.07279
-0.02628	0.03218	-0.05130	-0.01274	0.01082	-0.01388	-0.07478	-0.03210	-0.03447	-0.06525	0.00743	-0.01872	-0.11606
-0.02995	0.04465	-0.06502	-0.01648	0.00885	-0.02726	-0.08741	-0.04592	-0.05706	-0.09836	0.01202	-0.03487	-0.17220
-0.03284	0.05927	-0.08079	-0.02053	0.00515	-0.04326	-0.09887	-0.06426	-0.08737	-0.14192	0.01571	-0.05721	-0.24227
-0.03485	0.07591	-0.09870	-0.02479	-0.00021	-0.06107	-0.10875	-0.08790	-0.12600	-0.19751	0.01710	-0.08696	-0.32736
-0.03596	0.09443	-0.11866	-0.02929	-0.00690	-0.07964	-0.11685	-0.11766	-0.17324	-0.26648	0.01450	-0.12550	-0.42873
-0.03622	0.11465	-0.14038	-0.03415	-0.01437	-0.09778	-0.12317	-0.15425	-0.22902	-0.34980	0.00621	-0.17441	-0.54763
-0.03568	0.13636	-0.16339	-0.03949	-0.02196	-0.11431	-0.12792	-0.19805	-0.29290	-0.44780	-0.00933	-0.23527	-0.68488
-0.03429	0.15927	-0.18711	-0.04535	-0.02898	-0.12821	-0.13139	-0.24900	-0.36408	-0.56013	-0.03339	-0.30925	-0.84052
-0.03192	0.18302	-0.21084	-0.05170	-0.03470	-0.13864	-0.13387	-0.30663	-0.44153	-0.68591	-0.06683	-0.39693	-1.01388
-0.02845	0.20713	-0.23391	-0.05842	-0.03848	-0.14490	-0.13562	-0.37022	-0.52413	-0.82387	-0.11013	-0.49826	-1.20379
-0.02384	0.23104	-0.25567	-0.06541	-0.03987	-0.14650	-0.13694	-0.43881	-0.61066	-0.97230	-0.16338	-0.61266	-1.40863
-0.01808	0.25424	-0.27559	-0.07254	-0.03865	-0.14329	-0.13815	-0.51123	-0.69971	-1.12909	-0.22634	-0.73899	-1.62641
-0.01119	0.27626	-0.29324	-0.07965	-0.03475	-0.13549	-0.13943	-0.58634	-0.78973	-1.29185	-0.29852	-0.87543	-1.85473
-0.00328	0.29667	-0.30828	-0.08666	-0.02824	-0.12361	-0.14087	-0.66309	-0.87917	-1.45802	-0.37936	-1.01964	-2.09084
0.00547	0.31509	-0.32042	-0.09356	-0.01924	-0.10851	-0.14244	-0.74043	-0.96655	-1.62492	-0.46819	-1.16896	-2.33197
0.01498	0.33118	-0.32946	-0.10031	-0.00780	-0.09136	-0.14400	-0.81700	-1.05056	-1.78985	-0.56419	-1.32060	-2.57536
0.02515	0.34468	-0.33532	-0.10680	0.00603	-0.07350	-0.14532	-0.89113	-1.13006	-1.95034	-0.66621	-1.47171	-2.81804
0.03590	0.35544	-0.33809	-0.11283	0.02222	-0.05624	-0.14625	-0.96103	-1.20412	-2.10440	-0.77265	-1.61961	-3.05679
0.04708	0.36343	-0.33808	-0.11822	0.04054	-0.04064	-0.14664	-1.02514	-1.27198	-2.25051	-0.88164	-1.76191	-3.28838
0.05848	0.36877	-0.33571	-0.12285	0.06049	-0.02739	-0.14651	-1.08225	-1.33300	-2.38739	-0.99121	-1.89650	-3.50982
0.06998	0.37178	-0.33143	-0.12670	0.08130	-0.01688	-0.14598	-1.13155	-1.38672	-2.51404	-1.09945	-2.02158	-3.71853
0.08156	0.37297	-0.32578	-0.12975	0.10202	-0.00926	-0.14515	-1.17270	-1.43282	-2.62973	-1.20441	-2.13569	-3.91218
0.09320	0.37290	-0.31940	-0.13189	0.12165	-0.00444	-0.14408	-1.20571	-1.47114	-2.73408	-1.30423	-2.23770	-4.08868
0.10474	0.37218	-0.31287	-0.13298	0.13933	-0.00225	-0.14269	-1.23079	-1.50179	-2.82692	-1.39713	-2.32711	-4.24631
0.11591	0.37141	-0.30670	-0.13295	0.15435	-0.00268	-0.14089	-1.24840	-1.52510	-2.90818	-1.48161	-2.40393	-4.38400
0.12636	0.37109	-0.30126	-0.13184	0.16606	-0.00568	-0.13864	-1.25932	-1.54156	-2.97791	-1.55647	-2.46857	-4.50140
0.13578	0.37154	-0.29684	-0.12976	0.17403	-0.01094	-0.13596	-1.26450	-1.55161	-3.03646	-1.62065	-2.52160	-4.59881
0.14388	0.37282	-0.29364	-0.12688	0.17801	-0.01778	-0.13294	-1.26505	-1.55578	-3.08441	-1.67330	-2.56362	-4.67692
0.15037	0.37486	-0.29167	-0.12341	0.17798	-0.02532	-0.12970	-1.26214	-1.55475	-3.12221	-1.71398	-2.59518	-4.73670
0.15501	0.37760	-0.29070	-0.11962	0.17415	-0.03261	-0.12636	-1.25699	-1.54931	-3.15019	-1.74260	-2.61691	-4.77937
